idFabricante	Nome
2	Lotus
3	Saveurs de nos régions
4	Carrefour Bio
5	Carrefour
6	//Propiedad de://
7	Carrefour S.A.
8	Le moulin du pivert
9	Bonne Maman
10	Vico
11	Intersnack
12	Monoprix
13	Gavottes
14	Justin Bridou
15	Le Bâton de Berger
16	Sigdal
17	Sigdal bakeri
18	Agir Carrefour
19	Biocoop
20	Nos Régions ont du Talent
21	Leclerc
22	Loc Maria
23	Kaoka
24	Michel et Augustin
25	McVitie's
26	Délice
27	Véritable Délice
28	Céréal bio
29	St Michel
30	Kergrist
31	Casino Bio
32	Nos régions ont du talent
33	Carabreizh
34	La Maison d'Armorine
35	Reflets de France
36	Céréal Bio
37	Le Moulin du Pivert
38	Casino
39	U
40	Daco bello
41	U Bio
42	Artesani
43	Isla délice
44	Le collectif des gourmandes
45	La Vie Claire
46	Les Super Kid's
47	Tuc
48	Picard
49	Bonneterre
50	u
51	McEnnedy
52	Leader Price
53	U Saveurs
54	Hillcrest
55	Aldi
56	Saint-Michel
57	Acapulco
58	Dia
59	Dia - Distribuidora Internacional de Alimentación S.A.
60	Le Hameau
61	Larnaudie
62	Larnaudie Prestige
63	Afa Biscuiterie
64	Fossier
65	Maison Fossier
66	Tous les jours
67	Top Budget
68	Les Mousquetaires
69	Delpeyrat
70	Crusti Croc
71	Migros
72	Afiro
73	Hacendado
74	Mercadona S.A.
75	Catago
76	Ültje
77	Villars
78	Eugene blond
79	Unser Norden
80	Alnatura
81	Niederegger
82	La Bien Nommée
83	Jardin Bio
84	Léa Nature
85	Delicia
86	Indykpol
87	Lesieur
88	Drizz
89	Sans marque
90	DV S.A.S.
91	Bicentury
92	Biocentury S.L.U.
93	casino
94	Boots
95	La Trinitaine
96	DOR
97	Be-Kind
98	Chaskis
99	Facundo
100	Industrial Comercial Facundo S.A.
101	NewTree
102	Golden Bridge
103	GoldenBridge
104	Bio Sonne
105	DAO
106	Lou Bio
107	Hollandia
108	Chabrior
109	Sélection des Mousquetaires
110	Mémé Georgette
111	Pierre de Chaumeyrac
112	Marque Repère
113	Cora
114	Guillaume Dunoy
115	Jean Larnaudie
116	Intermarché
117	Arnott's
118	CAVEOSI
119	Cadbury
120	Mondelēz International
121	Afa
122	Afa biscuiterie
123	Griffin's
124	Delicious Dia
125	Argal
126	Selection Terroirs Espagne
127	Corte del Gusto
128	Asia Green Garden
129	Marks & Spencer
130	Antiu Xixona
131	Gullón
132	Griesson
133	Amica
134	Amica chips
135	Flor de Navidad
136	Turrones José Garrigós S.A.
137	Turrón 25
138	El Corte Inglés
139	El Corte Inglés S.A.
140	//Perteneciente a://
141	Grupo El Corte Inglés
142	Fleurons de Lomagne
143	Pierre biscuiterie
144	Netto
145	Les Délices de Belle France
146	Belle France
147	Francap Distribution
148	Biscoff
149	Alipende
150	Virginias
151	B-SAN
152	SuperSol
153	Fontaneda
154	Sondey
155	Aurada
156	Cuétara
157	Sam Mills The Corn Master
158	S.C. Sam Mills S.R.L.
159	Sam Mills Group
160	Real Handful
161	Le Glazik
162	Chips way
163	Leverno
164	Newman's Own
165	Jules Destrooper
166	Montfort
167	Armor Délices
168	Biscuiterie de l‘abbaye
169	Quintesens Bio
170	La Mère Poulard
171	Motta
172	Michel Chatillon
173	Nestle
174	Joannusmolen
175	Ecocesta Productos Ecológicos
176	Biogran S.L.
177	AhorraMas S.A.
178	goldbaums
179	Bijou
180	Bretagne Specialités
181	Ritz
182	Nabisco
183	Lidl
184	Fresh & Easy  Llc
185	Le Césarin Gourmand
186	Casa Ramon
187	Ro'thello
188	Delhaize
189	Groupe Louis Delhaize
190	Grand Jury
