idCaracteristica	Nome
2	en:ecocert
3	en:eu-organic
4	en:palm-oil-free
5	fr:ab-agriculture-biologique
6	en:no-colorings
7	en:green-dot
8	en:no-flavors
9	en:organic
10	en:be-bio-02
11	es:bio-europeen
12	es:vegetalien
13	es:vegetarien
14	en:vegetarian
15	en:vegan
16	en:fr-bio-01
17	fr:info-tri-point-vert
18	en:high-fibres
19	en:no-additives
20	en:labels-of-distributors
21	en:carrefour-quality
22	en:pure-butter
23	en:made-in-france
24	fr:organic-fair-trade
25	en:no-artificial-colors
26	en:no-artificial-colours-or-flavours
27	en:no-artificial-flavors
28	fr:by-appointment-to-her-majesty-the-queen
29	en:no-preservatives
30	en:eu-non-eu-agriculture
31	en:new
32	fr:eco-emballages
33	fr:origine-france
34	en:produced-in-bretagne
35	en:no-hydrogenated-fats
36	en:no-eggs
37	fr:elabore-en-france
38	fr:beurre-d-isigny-aop
39	fr:creme-fraiche-d-isigny-aop
40	en:halal
41	fr:association-rituelle-de-la-grande-mosquee-de-lyon
42	en:gluten-free
43	fr:fabrique-dans-le-sud-ouest
44	en:made-in-italy
45	fr:source-de-fibres
46	fr:fabrique-en-aveyron
47	fr:filiere-ble-regionale
48	fr:ecocert-fr-bio-01
49	fr:j-aime-ma-planete
50	en:low-or-no-fat
51	en:low-fat
52	en:30-less-fat
53	en:reduced-fat
54	fr:pommes-de-terre-de-france
55	fr:transforme-en-france
56	en:source-of-protein
57	fr:ble-francais
58	fr:fabrique-en-corse
59	fr:qualite-controlee
60	fr:viande-francaise
61	en:french-duck
62	es:calidad-suprema
63	en:eac
64	fr:conformite-eurasienne
65	fr:triman
66	fr:produit-dans-le-nord-de-la-france
67	en:pgi
68	de:bio-7-initiative
69	de:eg-oko-verordnung
70	fr:au-beurre-frais
71	en:with-sunflower-oil
72	en:low-or-no-sugar
73	en:no-added-sugar
74	en:no-lactose
75	fr:teneur-reduite-en-sodium
76	fr:union-orthodoxe
77	en:fair-trade
78	en:fairtrade-international
79	en:german-agricultural-society
80	en:2015-gold-medal-of-the-german-agricultural-society
81	en:de-oko-003
82	en:gold-medal-of-the-german-agricultural-society
83	de:nicht-eu-landwirtschaft
84	fr:circuit-court
85	fr:cor-481
86	fr:laitier
87	fr:selection-intermarche
88	en:nl-bio-01
89	fr:natural-mente
90	en:sustainable-farming
91	en:utz-certified
92	en:utz-certified-cacao
93	de:rspo-mixed
94	en:spanish-protected-product
95	en:pgi-mazapan-de-toledo
96	en:point-vert
97	en:recycle
98	en:with-sweeteners
99	es:con-avena
100	es:fuente-de-acido-folico
101	es:con-aceite-de-girasol-alto-oleico
102	en:spanish-quality-label
103	en:tierra-de-sabor
104	es:alto-contenido-de-fibra
105	es:no-vegan
106	en:low-or-no-salt
107	en:low-salt
108	en:no-gmos
109	en:de-oko-001
110	fr:au-beurre-d-isigny-aop
111	nl:eko
112	nl:skal-001108
113	en:es-eco-023-ma
114	en:kosher
115	en:wheat-free
116	en:pdo
