idEmbalagem	nome
2	sachet plastique individuel
3	paquet
4	Plastique
5	sachet
6	en:carton
7	fr:Film plastique à jeter
8	fr:Étui carton à recycler
9	fr:Pensez au tri!
10	en:Green dot
11	en:Triman
12	Carton
13	carton
14	Bolsa de aluminio
15	Sachet
16	Sachet plastique
17	sachet plastique
18	Boîte
19	Barquette
20	Film plastique
21	Film plastique à jeter
22	Boite à recycler
23	Film à jeter
24	plastique
25	Tablette
26	Sachet individuel
27	Box
28	6 sachets fraîcheur
29	Papier
30	Film
31	Flacon
32	Pot
33	Verre
34	boîte
35	Sachet plastique à jeter
36	Étui carton à recycler
37	Barquette et film plastique à jeter
38	Etui carton à recycler
39	Sachets plastiques
40	étui carton
41	Triman
42	Point vert
43	nl:sachet
44	nl:plastique
45	nl:Plastiek
46	Boite
47	Surgelé
48	Sachets plastiques à jeter
49	Etui
50	Sachets plastique à jeter
51	cardboard
52	box
53	foil
54	Bolsa de plástico y aluminio
55	Frais
56	étui
57	conserve
58	Sous atmosphère protectrice
59	coque plastique
60	étiquette papier
61	opercule papier alu
62	Sachet Cellophane
63	Bolsa de plástico
64	Caja de cartón
65	Kunststoff
66	papier
67	aluminium
68	Karton
69	21 PAP
70	1 PET
71	sachets fraicheurs
72	Couvercle
73	Métal
74	Conserve
75	Bouteille
76	paper wrap
77	metal wrap
78	Plástico
79	Caja
80	Cartón
81	05 PP
82	♷
83	Emballage individuel plastique à jeter
84	Sac
85	4 Sachets de 5 biscuits
86	barquette
87	opercule
88	métal
89	bocal
90	verre
91	frais
92	sous vide
93	Barquette aluminium
94	Plastic
95	sachet papier
96	Envoltorio de plástico
97	Soporte de plástico
98	Adhésif
99	bottle - plastic
100	plástico
101	sacchetto
102	carta
103	plastica
104	Bocal
105	4 sachets fraîcheurs
106	4 Sachets de 4 biscuits
107	Envase metalizado
108	Bag
109	90 C/PP
110	Glass
111	Bottle
112	Sachet Individuel
113	Fer
114	Plastic zak
115	Aluminium
116	Bote de vidrio
117	Box - card
118	Boîte carton
119	Barquette plastique
120	Sous atmopshère protectrice
121	Sous papier transparent
