Produto_Cod_barras	Locais_Vendidos_idLocais_Vendidos
3229820181950	2
5410126806052	2
20093709	2
3560070420179	2
3560070419456	2
3560070419456	3
3268350120558	2
3268350120558	3
3178530402698	2
3336970711057	2
3350033118065	2
3431410131003	2
3431410131003	4
3560070600977	2
3449851140553	2
3560070725588	2
7071848006113	2
3245413922403	2
3760121210524	2
3564709005157	2
3477730001503	2
3760122961241	2
3760122961241	4
3178530411195	2
5000396015935	5
5000396015935	2
3336971112013	2
26034669	2
3175681140806	2
3178530408409	2
26035468	2
3222471834732	2
3560070907564	2
3564709001579	2
3760029247127	2
3561770000036	2
3336971202059	2
3245390021908	2
3175681120679	2
3178530407365	2
3268350120367	2
3222475123597	2
3368955782202	2
3368955782202	6
3270720080102	2
3256224371410	2
3760077531865	2
3512690000101	2
3770002558126	2
3266191085739	2
3270190155584	2
7622300737955	7
7622300737955	2
7622300737955	8
7622300737955	9
7622300737955	10
7622300737955	11
7622300737955	12
3268350120824	2
2000000000094	2
3396411227486	2
3256220363334	2
20384425	2
3263853107013	2
3368954400770	2
3256225054756	2
26039510	13
3178530409604	2
5412514933050	2
8480017076489	14
3278310003104	2
3760121211873	2
3113010128750	2
3339881001026	2
3435070029205	2
3700311810516	2
3410280021959	2
3067163621678	2
20181482	2
5000396037937	2
5000396037937	4
7610200021120	4
8480017032645	14
8480000364074	14
20276607	2
4004980517905	15
7610036000337	2
3588570003524	2
4003754176447	15
4104420053847	15
4104420053847	16
4104420054806	17
4104420054806	8
4000161100904	15
4000161440673	15
3560070559619	2
26192000	13
3760029244003	2
3760020501051	2
20127541	2
3396411223143	2
3560070504701	2
5901869009645	2
3265475016001	2
26018324	2
3555080708591	2
3760077534583	2
8423207207478	14
3222475720444	2
5000167082890	18
3260260031412	2
20277406	14
602652176616	2
602652176616	19
8480000335760	14
8413671022202	14
8413671030603	14
8413671022042	14
5425008344584	2
5425008344584	9
836110002074	20
836110002074	2
836110002074	19
24001885	14
20128609	15
3497900007111	2
3350033092419	2
60465005828	21
3250392250249	2
3662790003325	2
3564700083642	2
3257980085788	2
3257980085764	2
3257982161565	2
3245412512179	2
3350030201029	2
3250391773688	2
3250391773688	22
3113010125865	2
3250391095605	2
3250390424079	2
9310072000411	13
8000015003081	2
9300617324126	13
3339883010170	2
8480017020215	2
9400553011477	23
9400553011477	13
8480017155436	14
8411814206885	2
8411814215863	2
8411814210806	2
3700656401158	2
26080994	2
3222475718991	2
819701	18
8480000670151	14
3535800172659	2
3270160801534	2
8410376016789	24
4001518003312	16
4001518003312	15
8008714000899	2
8008714000899	22
8008714000899	25
24086721	14
8410350065055	14
8431876251197	14
8433329039826	14
8433329039833	14
3700428432885	2
85366013000299	26
3250390183976	2
3258563020295	2
5410126716016	27
5410126716016	14
8421691784543	14
8421691477292	14
8410196051380	14
8430803027225	14
7622210114730	14
20204389	14
20204433	14
8480017092991	14
24044882	14
20204365	14
8480017092984	14
24044080	14
24018128	14
8431876005066	14
8410014305169	14
5941634001061	14
5060422870099	2
3182650148985	2
3182650248739	2
3182650008982	2
8606107223124	28
4013200332198	15
50300853	18
5410471903024	20
5410471903024	2
4001518110294	15
4000161110170	15
42305880	15
42305880	16
3104544018860	2
3263852910713	2
3368390000190	2
3226219005705	2
3700663000399	2
3472860003557	2
3700125800826	2
3328481290770	2
7613035903524	28
4003754178076	15
8713445070041	29
4000161400219	15
4000161050292	15
4000161400516	15
4000161600091	15
4000161740308	15
8422584000511	14
8421691560970	14
718122600595	18
1151	2
8480017541857	2
2000000017785	2
3350031637513	2
9300650012349	13
4000161620112	15
20594442	2
20045463	2
20045463	19
8423348402336	2
5997591100545	30
5997591100545	15
5400113569435	9
5400113569435	28
3257980832290	2
3257984499307	2
3245390015594	2
